产科	Obstetrics
助听器验配室	Hearing Aid Fitting Center
驾驶室	Bridge
人事处/科	Human Resources
献血前等候区	Donors Waiting Area
滑动开门	Slide to Open
电影院	Cinema
多媒体	Multimedia
感染科	Infection /Communicable Diseases
博物馆活动	Museum Activities
绿道（麓湖路至双燕岗路）	Green Trail (from Luhu Road to Shuangyangang Road)
空调	Air Conditioner
检查口	Inspection Gate
客房部	Housekeeping Department
阴道镜室	Vaginoscopy
土特产展销广场	Gift & Specialty Square
剧院	Theatre
一/二/三/四/五层（楼）	F1/F2/F3/F4/F5
药流分诊	Drug-Induced Abortion Reception
非旅游通道	禁止通行 Non-tourist Passageway! No Entry!
北楼平面导览图	North Tower Floor Plan
口腔急诊科	Emergency
船员休息室	Crew’s Room
请看管好您的随身物品	Please Keep Your Belongings Attended
报刊阅览室	Newspapers & Periodicals Reading Room
烟	Cigarette
艾滋病咨询门诊	HIV/AIDS Counseling Clinic
监督电话：81939400	Supervision Hotline: 81939400
后区	Back Section
口腔硬组织检查室	Hard Tissue Examination
行车道	Car Lane
主动音乐治疗室	Active Music Therapy
集装箱堆场	Container Yard
消化内科	GI Medicine
客梯/电梯	Elevator/Lift
妇女病防治科	Women’s Disease Prevention and Treatment
见证服务管理部	Witness Service Management
心理科	Psychology
声像室	Audio-Video
二级文物	Class Two Cultural Heritage
广州市工人文化宫	Guangzhou Workers’ Cultural Palace
皮肤病科	Dermatology
三楼定额	人 Passenger Capacity on F3: xxx
紧急呼救设施/紧急报警器	Emergency Alarm
脊柱门诊	Spine Clinic
超市	Supermarket
外宾团体观众	Foreign Group Visitors
旅客出站口	Passenger Exit
评标专家管理部	Bidding Expert Management
广州市新图书馆	Guangzhou New Library
观众入场	Audience Entrance
佛山市体育馆	Foshan Gymnasium
消防器材	Fire Equipment
旅游	X 号线站台通道 Passage for Tour Bus X
内分泌病门诊	Endocrinology Clinic
二楼单号侧区	Balcony Odd Numbers
干燥室	Desiccation
牙周粘膜科	Periodontics & Oral Medicine
妇科	Gynecology
骨科烧伤	Orthopaedics & Burn
肠道病门诊	Enteric Diseases Clinic
留学	Overseas Study
生物	Biology
历史	History
外科特级专家门诊	Senior Specialist Clinic
步行梯/楼梯	Stairs
眼底照相室	Fundus Photography
贵宾区	VIP
缆车	Cable Car
休闲娱乐	Recreation & Entertainment
皮埋门诊	Subepidermal Contraceptive Implant Clinic
中医候诊室	TCM Waiting Room
室内导航服务系统	Indoor Navigation Service System
检斤处	Baggage Weighing
钻石精品	Exquisite Diamond Works
观众席	Audience Seats
绿道	Green Trail
免疫预防门诊	Vaccination & Immunoprophylaxis Clinic
口腔清洁用品	Dental Care Products
景观	Scenery
科技馆	Science & Technology Museum
中医专家门诊	TCM Specialist Clinic
客运站	Intercity Bus Terminal
邮局	Post Office
婴幼儿营养保健中心	Infant Nutrition & Healthcare Center
汽车专项维修业户	Motor Vehicle Maintenance & Specialty Repair Services
留言板	Message Board
酒	Alcohol/Liquor
摆药室	Drug Dispensing
手稿	Manuscripts
儿科急诊药房	Pediatric Emergency Pharmacy/Dispensary
码头	Wharf
请家长带好您的小孩	Please Take Care of Your Children
贵宾厅	VIP Lounge/Hall
肌兴奋治疗室	Muscle Stimulating Treatment
无抽诊室	Non-convulsive Consultation
婴儿浴室	Infant Bath
儿童金饰品	Gold Accessories for Children
协议采购部	Contract Procurement
的士之星	Taxi Star
紧急医疗救援中心	Emergency Medical Rescue Center
千足金耳环	99.9% Gold Earrings
纪检监察室	Disciplinary Oversight
天文	Astronomy
紧急逃生工具/仅供紧急情况下使用	Emergency Use Only
垃圾不落地，景区更美丽	Please Do Not Litter and Keep Scenic Area Beautiful
洗涤间	Laundry Room
手工艺展示	Handicraft Display
幽谷一段	Valley Segment I
模型	Model
展区	Exhibition Area/Display Area
古人类化石	Palaeoanthropology Collection
售票处停车场	Parking Area of Ticket Office
高等教育	Higher Education
消防通道，禁止停车	Fire Engine Access. No Parking.
耳鼻喉科专家门诊	ENT Specialist Clinic
胸透室	Chest X-Ray
医护办公室	Staff Office
广州塔	Canton Tower
投资理财	Investment & Financing
周围血管超声室	Peripheral Vascular Ultrasonography
综合货运站	Comprehensive Cargo Services
检票口	Ticket Check
内分泌治疗中心营养测定室	Endocrinotherapy Center Nutrition Testing
药浴室	Medicated Bathroom
第一手术室	Operating Room 1
保险条款	Clauses of Insurance
社会车辆入口	Public Vehicles Entrance
皮革毛草/皮革皮草	Leatherwear & Furs
区域集中供冷系统	Centralized District Air Conditioning System
餐具清洁间	Dining Utensils Cleaning
亲友等候区	Waiting Area
歌厅	KTV/Karaoke
中药调剂室	TCM Dispensing
剧场	Theater
男士休闲装	Men’s Casual Wear
美食天地	Food Court
现代书画	Contemporary Paintings & Calligraphy
野营露营	Camping
国家级文物保护单位	National Cultural Heritage Site
卫生监督机构	Health Inspection Authorities
枢纽西北大厅	Bus Hub Northwest Hall
快速通道	Express Lane
残疾人（无障碍）观众席	Accessible Seating
急诊创伤诊室	A&E Trauma Consultation
航线	Route
供应保障区	Supply Area
二楼旅客入口	F2 Passenger Entrance
高速路/高速公路	Expressway (Expwy)
小说	Fiction
值班岗亭	Security Booth
图书查询台	Inquiry
遗址	Historic Site
奶粉	Baby Formula/Powered Milk
脑血管病门诊	Cerebrovascular Diseases Clinic
职业病咨询门诊	Occupational Disease Counseling Clinic
展厅	Exhibition Hall
危险，请勿进	Danger! Do Not Enter
健身器材	Fitness Equipment
水果	Fruits
中医科按摩室	TCM Massage
商务印书馆广州分馆旧址	Former Site of the Commercial Press Guangzhou Branch
清洁消毒室	Cleaning & Disinfection
地下停车场入口	Basement Parking Entrance
心律失常门诊	Arrhythmia Clinic
火警下压器	Fire Alarm Press Down (↓)
妇科泌尿学	Gynecological Urology
本部急救分中心	Headquarters First Aid Branch
室外消防栓	Outdoor Fire Hydrant
严禁吸烟	No Smoking
其他垃圾	Other Waste
严禁易燃易爆危险品登船	Inflammable, Explosive & Dangerous Goods Prohibited
候船入口	Entrance
职业女装	Women’s Suit
青春服饰	Clothing & Accessories for the Young
导览机	Audio Guide
金银珠宝/珠宝	Gold, Silver & Jewelry/Jewelry
培训室	Training Room
能源与环境	Energy & Environment
巡回展览	Touring Exhibition
进口/原版引进	Imported
营养门诊	Nutrition Clinic
投诉接待处	Complaints
头痛门诊	Headache Clinic
乐器	Musical Instruments
当心触电	220V Danger! High Voltage! 220V!
医馆室	Medical Officer’s Quarters
无障碍售票口	Wheelchair Accessible
碧波楼	Green Wave Pavilion
审批办证科	Review of Application for Approval & License
生活饮用水	Drinking Water
桃花岛	Peach Flower Island
商店	Shop
物资采购供应中心	Materials Purchase & Supply Center
乘坐出租车温馨提示	Notice on Taxi Service
男更衣室	Men’s Locker Room
前站	qian Station
保险	Insurance
游戏厅	Game Center
租赁流程	Rental Procedure
购物车	Shopping Trolley
牙体牙髓科	Endodontics
临床药理基地办公室	Clinical Pharmacological Center Office
宫、院	Palace
起点	Starting Point
戏剧	Drama & Theatre
老年活动中心	Senior Activity Center
机舱	Engine Room
大佛寺	Great Buddha Temple
献血后关爱（短信平台）	Post Blood Donation Care (Message Platform)
复制品	Replica
社区卫生服务中心	Community Public Health Service Center
白天	Day
神经内科急诊	Emergency Neurology
水疗生活馆	Spa
体液常规化验室	Routine Test Lab for Body Fluid
全日（昼夜）停车场	24-Hour Parking
电影拍摄	Filming
机房	Machinery Control Room
货物提取	Cargo Claim
无障碍卫生间	Accessible Toilets/Wheelchair Accessible
去离子设备间	Deionization Equipment
空港经济区	Aerotropolis Development District
公告栏	Notice Board
倾斜试验检查室	Inclination Experiment
保暖内衣	Thermal Underwear
输血科	Blood Transfusion
维修班	Maintenance
成人外借部	Book Borrowing for Adults
接待员	Receptionist
中餐厅	Chinese Restaurant
中医科针灸科	TCM Acupuncture
自助行李寄存	Self-service Lockers
生活饮用水卫生监督	Clean Water Oversight
布鞋拖鞋	Fabric Shoes & Slippers
停车锁车器	Parking Lock
性医学门诊	STD Clinic
体育场	Stadium
语言治疗室	Speech Therapy
软路肩	Soft Shoulder
餐馆	Restaurant
网球场（1-5）	Tennis Court No.1–5
产后康复中心	Postpartum Recovery Center
南站	South Railway Station
运动医学科专家门诊	Sports Medicine Specialist Clinic
发热筛查室	Fever Screening Clinic
客运主枢纽	Public Transport Hub
执法监督一科	Law Enforcement & Supervision Section 1
电脑	Computer Science
政府采购审核部	Government Procurement Review
观众入场门（单号）	Audience Entrance (Odd Numbers)
木制文物	Wooden Culture Heritage
二楼乘车区	F2 Boarding Area
区（县）卫生局卫生监督所	District (County) Health Inspection Institute
专业项目交易部	Specialized Project Trading
医护部	Medical & Nursing
二楼售票厅	F2 Ticket Office
平衡障碍室	Balance Disorder Treatment
素质教育	Character Building Education
外科专家门诊	Specialist Clinic
成人教育/继续教育	Adult Education/Continuing Education
票价	Fare
游乐场	Playground
药剂科	Pharmacy
妇产科	Obstetrics & Gynecology
渔业	Fishery
危险勿动	Danger! Do Not Touch
年鉴	Yearbooks
涎腺疾病中心	Salivary Gland Diseases Center
中药代煎室	TCM Decoction
机舱盖上	严禁坐立 Do Not Sit or Stand on Engine Room Hatch
肠道传染病化验室	Infectious Enteric Diseases Lab
毛织/羊毛服装	Wool & Knitwear
钟表眼镜	Clocks, Watches & Glasses
深水区	Deep Water
特色食品	Local Foods
红宝石饰品	Ruby Accessories
危险物品	Hazardous Articles
母婴保健中心	Maternal and Infant Healthcare Center
外科治疗室/外科处置室	Surgery Treatment
监控室	Monitoring
钻石戒指	Diamond Ring
中药房	TCM Pharmacy/TCM Dispensary
淡季开放时间	Opening Hours in Slack Seasons
抬	Lift
行李寄存/物品寄存	Baggage Deposit
大件垃圾	Bulky Waste
理疗室	Physical Therapy
新书推荐	New Arrivals
出租车待客区	Taxi Stand
动脉弹性室	Arterial Elasticity Determination
休闲食品	Snacks
盖章处	Stamp Service
开馆时间	Opening Hours
颞颂关节疾病诊疗中心	TMJ (Temporomandibular Joints) Center
hbv	携带者诊室 HBV Carrier Consultation
新生儿隔离门诊	Newborn Isolation Clinic
皮肤科治疗室	Dermatology Treatment
口腔预防科	Preventive Dentistry
针棉织品	Knitted Cotton Goods
新闻办公室	Media Office
病案科	Medical Records
住院区/病区	Inpatient Area
信息管理部	Information Management
自然保护区	Nature Reserve
项目办公室	Project Office
工程部办公室	Engineering Office
数字减影	Digital Subtraction (DSA)
车辆管理科	Vehicle Management
高压氧科	Hyperbaric Oxygen (HBO)
骨密度（测量/检查）室	Bone Density (Test/Examination)
盥洗室	Toilets
财务管理部	Finance
地理	Geography
进口高档化妆品	Imported Cosmetics
内科普通门诊	Internal Medicine Regular Clinic
小儿骨科专家门诊	Pediatric Orthopaedic Specialist Clinic
放射治疗科	Radiotherapy
十二生辰石	Chinese Zodiac Stones
白云山滑索上站	Upper Station of Baiyunshan Zipline
儿童性发育门诊	Child Sexual Development Clinic
检验科/临床检验室	Clinical Lab
门诊	Outpatients
西区急救分中心	West District First Aid Branch
自助售取票区	Automatic Ticket Service
康复门诊	Rehabilitation Clinic
录像资料	Video-Recordings
街旁游园	Community Park
石膏室	Plaster
电影剪辑	Film Editing
（私人）内部停车场	Private Parking
禁止坐卧	No Sitting or Lying
远程医学会诊中心	Remote Medical Consultation Center
肝炎一科	Hepatitis Dept.1
洁净室	Clean Room
展品	Exhibit
磁共振室	Magnetic Resonance (MR) /MRI
长途汽车站	Intercity Bus Terminal
白云山滑索下站	Lower Station of Baiyunshan Zipline
北区	North Zone
公园	Park
祝您旅途愉快	Have a Nice Trip
南越王宫博物馆	Archaeological Site Museum of Nanyue Palace
文物鉴定	Cultural Heritage Authentications
家长请带好小孩	Please Take Care of Your Children
休息日	Closed
北京路步行街	Pedestrian Section of Beijing Lu
代办邮寄	Mailing Service
手机服务营业厅	Cellphone Service Hall
爱护花草，请勿采摘	Do Not Pick Flowers
血液病门诊	Hematology Clinic
水疸门诊	Chicken Pox Clinic
观赏区	Viewing Area
普通透视室	Fluoroscopy
汽修	Auto Service
百科	Encyclopedias
数字胃肠造影室	Digital GI Examination
当心滑跌	CAUTION! Slippery Surface
骨组阅片室	Skeletal Radiology
围产保健室	Perinatal Healthcare
首席仲裁员	Presiding Arbitrator
金融证券	Finance & Securities
乳腺门诊	Breast Clinic
游乐场/游乐园	Amusement Park
值星副官室	On-Duty Lieutenant’s Room
收费处	Pay Here
办公区	Administration Office
食品部	Snack Bar
输液观察室	Transfusion Observation
行驶中请勿站立	Please Stay Seated While Bus Is Moving
字画店	Calligraphy & Painting Store
停车收费标准/停车费	Parking Rates
急救中心	First Aid Center
小儿心脏科	Pediatric Cardiology
老年艺术治疗厅	Geriatric Art Therapy
泌尿外科膀胱镜室	Urology Cystoscopy
观众入场门（双号）	Audience Entrance (Even Numbers)
麻醉恢复室	Anesthesia Recovery Room
免疫组化室	Immune-Histochemical Lab
网球场	Tennis Court
门诊化验室	Laboratory/Lab
妇科微创中心	Minimally Invasive Gynecology Center
励志	Self-improvement
干鲜蔬菜	Dried and Fresh Vegetables
急诊科	Emergency
中医皮肤门诊	TCM Dermatology Clinic
行包托运处	Baggage Check
骨质疏松门诊	Osteoporosis Clinic
户外运动系列	Outdoor Sports Series
图书收购	Used Books Wanted
执法监督二科	Law Enforcement & Supervision Section 2
公园牌坊	Paifang
中医儿科	TCM Pediatrics
外科	Surgery
成人票价	Adult Price
生物反馈诊疗室	Biofeedback Consultation
家居建材商店	Home Décor & Furnishing Store
产科超声波诊断室	Obstetric Ultrasonography
随访门诊	Follow-up Clinic
内窥镜室/内腔镜室	Endoscopy
耳鼻喉科门诊治疗室	ENT Treatment
仲裁办公室	Arbitration Office
咖啡	Coffee
落花未必有意	摘花一定无情 No Picking of Flowers
化妆间	Dressing Room
出租汽车上下/停靠站	Taxi Stand
排	Row
竞赛办公室	Competition Office
场地区	Performance Area
拱桥	Arch Bridge
地铁	Metro
足金项坠	24K Gold Pendant
手机配件	Cellphone Accessories
书画	Painting & Calligraphy
厨房	Kitchen
摄影	Photo Taking
干菜	Dried Vegetables
不得随地大小便，便后请及时冲洗。	Flush after use.
心肺功能科	Cardio-Pulmonary Function
贵宾休息室/贵宾厅	VIP Lounge
信息服务	Information Counter
电房	Power Distribution Room
检测报告发放处	Test Report Desk
妇科分诊	Gynecology Reception
自画像	Self-portrait
物业行政部	Property Maintenance
值班经理台	Manager on Duty
中西医结合科	Integrated TCM & Western Medicine Dept.
北台	North Platform
饮用水	Drinking Water
影城出口/散场出口/散场通道	EXIT
小件寄存/衣帽寄存/代客存衣	Baggage Deposit
医用电梯	Medical Service Elevator
元/半小时	RMB/Half-Hour
脊柱病房	Spine Ward
门卫室	Security Room
残疾人设施	For People with Disabilities
男性科	Andriatrics
小件寄存处	Baggage Deposit
观光梯	Sightseeing Elevator
禁止骑车下浮桥	No Cycling
步行登山道	Hiking Trail
南粤交投驻场办	Office of Nanyue Transportation Investment and Construction
第一仲裁庭	The 1st Court of Arbitration
紧急出口	Emergency Exit
请勿触摸	Do Not Touch
心脏病门诊	Cardiology Clinic
娱疗厅	Recreational Therapy
性病咨询门诊	STD Counseling Clinic
电视机	Television
艺术	Art
女士休闲采购部	Women’s Casual Wear Purchase
检验科（血液筛查实验室）	Blood Screening & Test
罐头	Canned Food
牙片室	Dental Film
车辆通道/车道	Vehicle Lane
玉器	Jadeware
女士精品采购部	Women’s Choice Goods Purchase
临床检验实验室	Clinical Test Lab
儿童生长发育科	Child Growth & Development
上楼楼梯	Upstairs
数学	Mathematics
洗护发用品	Shampoo & Conditioner
货物托运	Freight Transport
自助服务机	Self Service
中学教育	Secondary School Education
寝具毛线	Bedding & Woolens
楼上	Upstairs
硬件	Hardware
游船码头	Pier
地上一层/二层	F1/F2
口腔手术室	Oral Operating Room
展室/陈列室	Exhibition Room/Display Room
配液室	Liquor Room
内科专家门诊	Internal Medicine Specialist Clinic
大桥	Bridge
亚运公园	Asian Games Park
残疾人专用通道	Wheelchair Accessible
免疫规范化门诊	Standardized Vaccination Clinic
肾病科	Nephrology
儿童摄影室	Children Photograph Studio
职工食堂	Staff Dining
信息统计	Information Statistics
医院感染控制与消毒科	Hospital Infection Control & Disinfection
南出口（x）	South Exit X
蔬菜	Vegetables
大客车专用入口	Coach Entrance
证人席	Witness Stand
残疾人	Disabled
放射科片库	Radiology Storage
会员卡充值处	Membership Card Recharging
急诊输液室	A&E Transfusion
社区购物中心	Community Shopping Center
珍珠饰品	Pearl Accessories
心肌病门诊	Cardiomyology Clinic
曰用百货	Household Items
外币兑换处	Foreign Exchange
洗片室	Developing Room
军事博物馆	Military Museum of the Chinese People’s Revolution
照相器材采购部	Camera Equipment Purchase
触摸区	You may touch animals here
隔离取血室	Isolated Blood Drawing
中医正骨科	TCM Bone-Setting
商场楼层平面图	Shopping Mall Floor Plan
团体接待	Group Reception
通行区/场馆公众区	FOH (Front of House)
结核内科	Tuberculosis
工作重地，游客止步	Staff Only
小型车专用入口	Car Entrance
考古	Archaeology
准驾证号	Driving Permit No.
神经外科门诊	Neurosurgery Clinic
折扣店	Outlets
国家	A 级景区 Class (A) National Scenic Spot
熟食糕点	Cooked Food & Bakery
新生儿抚触室	Newborn Massage Center
集装箱中转站	Container Transfer Station
休息厅/休息处/顾客休息室	Lounge
献血纪念品、献血证发放处	Souvenirs & Donation Certificate Distribution
生殖调节科	Reproductive Regulation
垂钓用具	Fishing Equipment
饼干	Biscuits
雨具租用处	Umbrella Rental
古脊椎动物化石	Vertebrate Paleontology Collection
旅游信息咨询中心	Tourist Information Centre
休息处	Rest Area
行政办公室	Administration
女士皮鞋	Women’s Leather Shoes
平板运动试验检查室	Treadmill Testing (TMT)
登山道	Path
学术类	Academic Books
妇科观察室	Gynecology Observation
日光浴	Sunbathing
献血体检	Donors Physical Examination
中成药房	Chinese Prepared Medicine Pharmacy/Chinese Prepared Medicine Dispensary
宠物乐园	Pet Playland
骨科诊室/骨科门诊	Orthopaedic Consultation Room/Orthopaedic
乳腺科	Galactophore
文印室	Copy & Photocopy Room
血尿门诊	Hematuria Clinic
肾移植科	Kidney Transplant
灭火器/灭火器箱	Fire Extinguisher
第四仲裁庭	The 4th Court of Arbitration
婴儿治疗室	Infant Therapy
物流中心	Logistics Center
美术馆/艺术馆	Art Museum
非工作人员请勿入内	Staff Only
安全乘船指引	Safety On Board Guide
杂志编辑部	Journal Editorial Office
公共场所卫生监督	Sanitation Oversight of Public Facilities
作业治疗室	Occupational Therapy
报告厅	Conference Hall/Auditorium
救生衣演示	Life Jacket Demo
陶艺治疗室	Pottery Therapy
体育馆	Gymnasium
图书销售排行榜	Book Sales Ranking
观众入口	Audience Entrance
花草有生命	请勿采摘 Please Do Not Pick Flowers
数码产品	Digital Products
城隍庙	City God Temple
食品卫生监督	Food Hygiene Supervision
自行车通道	Bike Lane
童鞋/儿童鞋	Children’s Footwear
呼吸门诊	Respiratory Clinic
学雷锋志愿者服务站	Volunteer Service Station
足金戒指	24K Gold Ring
小心有电	Electrical Shock
文物库房	Cultural Heritage Storage
历史文化展览	History and Culture Exhibition
教育类	Education
音乐	Music
日用品	Daily Necessities
吸烟室、吸烟区	Smoking Room/Smoking Area
儿童常见病防治科	Common Pediatric Disease Prevention & Treatment
书院	Academy
预计里程（公里）	Estimated Distance (km)
心理治疗室	Psychotherapy
肿瘤内科	Oncology
哲学	Philosophy
内科处置室/内科治疗室	Internal Medicine Treatment
金属	Metal
呼吸道传染病诊室	Infectious Respiratory Diseases Consultation
检票处	Ticket Check
应急安置区	Emergency Assembly Point
厨卫	Kitchen & Bathroom
备注	Note
动物	Zoology
运动服装/体育服装	Sportswear
纸类	Paper
评标区	Tender Evaluation Area
地方病控制所	Institute of Endemic Diseases Control
听力室	Audiometry
带状公园	Belt Park
动漫图书	Cartoons & Comics
布艺	Fabrics & Lace
肿瘤科	Oncology
派出所	Police Station
“府学双泉”古井	Ancient Double-spring Well
古籍	Classics
快速检测车	Quick Test Vehicle
火车东站	East Railway Station
安检处	Security Checkpoint
样品室	Sample
公共关系科	Public Relations
研究	Research
桥（大桥）	Bridge
第六仲裁庭	The 6th Court of Arbitration
元/小时	RMB/Hour
医疗卫生监督科	Medical Oversight Section
男配饰	Men’s Accessories
普通取血室	Ordinary Blood Drawing
公交中心站	Central Bus Station
婚纱影楼	Wedding Photograph Gallery
男厕所	Gents/Men
中医多动症门诊	TCM Minimal Brain Dysfunction (MBD) Clinic
中医理疗科	TCM Physiotherapy
滑草道	Mountain Zipline
湖内水深	严禁游泳 Deep Water! No Swimming!
人类	Anthropology
眼科门诊缝合室	Outpatient Suture
社会服务部	Social Service Dept.
干部医疗科	Medical Treatment for Officials
社区卫生服务站	Community Public Health Service Station
病房	Ward
金属制品	Metalware
电脑及配套设备	Computers & Accessories
脊柱专家门诊	Spine Specialist Clinic
导游亭	Tour Guide Booth
便民挂物架	Public Hanger
游客停车场布局示意图	Tourist Parking Lots
新闻发布厅	Press Conference Hall
洗车	Car Wash
市区购物中心	Downtown Shopping Center
本月排行	Monthly Best Sellers
儿科抢救室	Pediatric Rescue
行李车	Baggage Trolley
摄影培训室	Photography Learning
设备重地	Equipment Room
血管造影室	Angiography
自行车架	Bicycle Stand
碑记	Tablet Inscription
欢迎您再来	Hope to see you again!
宫腔镜室	Hysteroscopy
无障碍设施	Wheelchair Accessible
内分泌科	Endocrinology
数字见证室	Digital Witness Room
舞厅	Dance Hall
综合药房	Integrated Pharmacy/Integrated Dispensary
取检查、检验结果处	Test Reports
世界文化遗产	World Cultural Heritage
螺旋	CT 扫描室 Spiral CT Scan
小儿骨科急诊	Emergency Pediatric Orthopaedic
学好英语走向世界	Gain a Good Command of English, Embrace the World!
力量训练房	Strength Training Gymnasium
复原陈列	Restored Exhibits
特色旅游购物街区	Tourist Shopping Street
新青年社旧址	Former Site of New Youths Press
1-23	检票口 Checkin Counter No.1–23
钻石项链	Diamond Necklace
茶园站点	Tea Garden Station
老年诊室	Geriatric Clinic
运动医学病房	Sports Medicine Ward
摄影器材	Camera Equipment
办公区域/办公区	Office Area
字典/辞典	Dictionaries
地质年代	Geologic Age
临时停车	Temporary Parking
供应室	Supply Room
铂金	Platinum
取精室/精液收集室	Semen Collection
采血室	Blood Sampling Room
后装治疗室	Afterloading Radiotherapy
小草青青，请勿践踏	Please Keep off Grass
妇儿科	Gynecology & Pediatrics
中华书局广州分局旧址	Former Site of China Publishing House Guangzhou Branch
始发站	Departure Station
营销	Marketing
治疗、换药室	Treatment & Dressing
经济技术开发区	Economic and Technological Development Zone
请勿携带宠物	No Pets Allowed
外科实验室	Surgery Lab
李占记钟表铺	Lee Jim Kee Clock & Watch Co., Ltd.
肝移植康复中心	Liver Transplant Rehabilitation Center
小心地滑	严禁跨越 Caution: Wet Floor! No Crossing!
家用电器/精品小家电	Household Electric Appliances
常规化验室	Routine Test Lab
电影衍生品专卖区	Movie Products Area
录入室	Data Entry
应急药箱	Emergency Medicine Cabinet
取药处/药房/西药房	Pharmacy/Dispensary
会计室	Accounting/Accountants
门诊办公室	Outpatient Office
药品划价/划价处	Prescription Pricing
消防应急面罩	Emergency Fire Mask
应急指挥车	Emergency Command Vehicle
外科无菌室	Surgery Sterile
展场	Exhibition Area
公交枢纽站	Public Transport Hub
中医眼科	TCM Ophthalmology
翠楼	Jade Pavilion
青铜器	Bronzeware
路侧停车	Roadside Parking
汇合点	Conjunction
学生票价	Student Price
健康教育室	Health Education
口腔综合科	General Dentistry
外语	Foreign Languages
往三楼甲板→	To F3 Deck
医务部（处）	Medical Administration
眼激光室	Eye Laser Therapy
接待标准	Service Standards
星海桥	Star Sea Bridge
广告	Advertising
翡翠饰品	Jade Accessories
纤维鼻咽喉镜检查室	ENF-GP Examination
电影洗印	Film Processing
运动医学科门诊	Sports Medicine Clinic
排练厅	Rehearsal Studio
桥站点	Bridge Station
兴奋剂检查室	Doping Check Room
组织人事部	HR
长洲码头	Changzhou Wharf
北门	North Gate
纪念馆	Memorial Museum
文化旅游区	Cultural Tourism Zone
自动控制	Auto-control
加工室	Processing Room
自行车库/自行车停放处	Bicycle Parking
展板	Display Board
钻石手链	Diamond Bracelet
地图	Map
脑电图室	EEG
洗衣工作间/洗衣店/洗衣房	Laundry
水上运动	Water Sports
就诊区	Outpatient Area
禁止触摸	No Touching
物流管理部	Logistics Management
后台示意图	Backstage Map
